original_address1,latitude,longitude,housing_units,issue_date,status_current,home_flag,home_confidence,sb840_flag,sb840_confidence,sb15_flag,sb15_confidence
1132 1/2 AIRPORT BLVD,,,1,2025-09-15,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
801 W 29TH ST,30.29636698,-97.74518793,1,2025-09-15,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
5701 W SLAUGHTER LN BLDG E,30.20016505,-97.86850071,1,2025-09-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1320 ART DILLY DR BLDG 1,,,1,2025-09-16,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
1157 NICKOLS AVE,30.2766129,-97.68456247,1,2025-09-17,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
3207 E 16TH ST,,,1,2025-09-17,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
12971 N US 183 HWY SVRD NB,30.43757738,-97.77492033,1,2025-09-17,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1124 CLAYTON LN,30.31787155,-97.70033017,227,2025-09-17,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1157 NICKOLS AVE,30.2766129,-97.68456247,1,2025-09-17,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
6101 HIGHLAND CAMPUS DR BLDG 2000,30.32574912,-97.71391613,1,2025-09-17,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
1157 NICKOLS AVE,30.2766129,-97.68456247,1,2025-09-17,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1340 AIRPORT COMMERCE DR BLDG 4 UNIT 470,30.22428901,-97.68704573,1,2025-09-18,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1030 NORWOOD PARK BLVD,30.33915243,-97.69116575,1,2025-09-18,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1824 W SLAUGHTER LN,30.17408711,-97.82222335,1,2025-09-18,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
915 W JOHANNA ST,30.2471819,-97.76263047,1,2025-09-19,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
4207 RIVER PLACE BLVD,30.36927321,-97.86062634,1,2025-09-22,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
8413 SOUTHWEST PKWY BLDG 1,30.25998598,-97.88571963,94,2025-09-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8413 SOUTHWEST PKWY BLDG 8,30.25998598,-97.88571963,44,2025-09-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8413 SOUTHWEST PKWY BLDG 2,30.25998598,-97.88571963,35,2025-09-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8413 SOUTHWEST PKWY BLDG 7,30.25998598,-97.88571963,53,2025-09-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8413 SOUTHWEST PKWY BLDG 6,30.25998598,-97.88571963,98,2025-09-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8413 SOUTHWEST PKWY BLDG 3,30.25998598,-97.88571963,37,2025-09-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8413 SOUTHWEST PKWY BLDG 5,30.25998598,-97.88571963,36,2025-09-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8413 SOUTHWEST PKWY BLDG 4,30.25998598,-97.88571963,47,2025-09-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
907 E 53RD ST,30.31310058,-97.71353037,1,2025-09-23,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
2817 W ANDERSON LN,30.35884037,-97.73753325,1,2025-09-23,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2603 SOL WILSON AVE,30.27486327,-97.70538181,1,2025-09-23,Final,HOME (matched to Plan Review Case),high,,,,
300 WEST AVE,30.26809089,-97.75173802,1,2025-09-23,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
9300 S IH 35 SVRD SB,,,1,2025-09-23,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
1807 E CESAR CHAVEZ ST,30.25715743,-97.72507875,1,2025-09-23,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
9000 1/2 S CONGRESS AVE,30.16853784,-97.78883838,1,2025-09-23,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
6401 BURNET LN,30.33871107,-97.73878198,1,2025-09-25,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
2001 WINSTED LN,30.29051485,-97.76161262,2,2025-09-26,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1301 1/2 SHOAL CREEK BLVD,30.27909523,-97.74956774,2,2025-09-26,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1407 E 3RD ST,,,1,2025-09-29,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
742 NORTHWESTERN AVE,30.26252739,-97.71395216,1,2025-09-29,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1507 W NORTH LOOP BLVD,30.32490804,-97.73787865,1,2025-09-30,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
919 WEST LYNN ST,30.27864672,-97.7599451,1,2025-09-30,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
5027 MANOR RD,,,1,2025-10-01,Withdrawn,,,"SB840 (possible, has overlay -- verify)",medium,,
3624 NORTH HILLS DR BLDG D UNIT 101,30.35274306,-97.75718498,6,2025-10-01,Final,,,"SB840 (by-right, no overlay/case on record)",high,,
3624 NORTH HILLS DR BLDG C UNIT 101,30.35274306,-97.75718498,6,2025-10-01,Final,,,"SB840 (by-right, no overlay/case on record)",high,,
1600 S CONGRESS AVE,30.24788615,-97.75060556,1,2025-10-03,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
10610 1/2 MOTHERAL DR,30.3752091,-97.68939118,1,2025-10-03,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2501 1/2 N LAMAR BLVD,30.29030839,-97.7509346,1,2025-10-03,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
640 ALLEN ST,30.25740874,-97.70480821,3,2025-10-06,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4700 GROVER AVE,30.31762193,-97.73812852,1,2025-10-06,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
640 ALLEN ST,30.25740874,-97.70480821,3,2025-10-06,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2801 S LAMAR BLVD,30.2435883,-97.78180519,1,2025-10-06,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1307 W WELLS BRANCH PKWY,30.43962048,-97.66216372,1,2025-10-06,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
640 ALLEN ST,30.25740874,-97.70480821,3,2025-10-06,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5901 S PLEASANT VALLEY RD,,,75,2025-10-07,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
911 POST OAK ST,30.25805171,-97.75553897,1,2025-10-07,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
2730 E 7TH ST,30.2606626,-97.70978257,137,2025-10-08,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2730 E 7TH ST,30.2606626,-97.70978257,90,2025-10-08,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2730 E 7TH ST,30.2606626,-97.70978257,43,2025-10-08,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
3124 FATHER JOE ZNOTAS ST,30.26868969,-97.70127546,1,2025-10-08,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
2730 E 7TH ST,30.2606626,-97.70978257,105,2025-10-08,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2915 E CESAR CHAVEZ ST,30.25179227,-97.71137316,48,2025-10-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2915 E CESAR CHAVEZ ST,30.25179227,-97.71137316,48,2025-10-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2915 E CESAR CHAVEZ ST,30.25179227,-97.71137316,86,2025-10-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2915 E CESAR CHAVEZ ST,30.25179227,-97.71137316,60,2025-10-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2915 E CESAR CHAVEZ ST,30.25179227,-97.71137316,39,2025-10-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2915 E CESAR CHAVEZ ST,30.25179227,-97.71137316,28,2025-10-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
7101 BURNET RD,,,1,2025-10-13,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2202 TRAILSIDE DR BLDG B,30.25961247,-97.77261208,1,2025-10-13,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
1628 E CESAR CHAVEZ ST,30.25831675,-97.72758201,1,2025-10-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2500 DANA CV,30.25802929,-97.78632155,2,2025-10-13,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
7020 E US 290 HWY SVRD WB BLDG 2 UNIT D,30.32232429,-97.68523516,1,2025-10-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
823 TILLERY ST,,,120,2025-10-14,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
300 S LAMAR BLVD SB,30.26286872,-97.75860722,1,2025-10-14,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1103 BOULDIN AVE,30.25421873,-97.75640797,1,2025-10-14,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
5501 N LAMAR BLVD BLDG A UNIT 123,30.32316452,-97.72758391,1,2025-10-15,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1900 E HOWARD LN BLDG A UNIT 1,,,2,2025-10-15,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
8402 COSMICO ST,30.23400594,-97.90139743,1,2025-10-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8416 COSMICO ST,30.23419267,-97.90181714,1,2025-10-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8504 COSMICO ST,30.2343892,-97.90217327,1,2025-10-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8412 COSMICO ST,30.23413846,-97.90171399,1,2025-10-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8418 COSMICO ST,30.23422405,-97.90187653,1,2025-10-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8414 COSMICO ST,30.23416422,-97.90176718,1,2025-10-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8408 COSMICO ST,30.23408066,-97.90156658,1,2025-10-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8404 COSMICO ST,30.23403457,-97.90145688,1,2025-10-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8502 COSMICO ST,30.23434975,-97.90212359,1,2025-10-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8506 COSMICO ST,30.23441771,-97.9022264,1,2025-10-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8406 COSMICO ST,30.23406583,-97.90150994,1,2025-10-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8420 COSMICO ST,30.23424988,-97.90193289,1,2025-10-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8410 COSMICO ST,30.23411264,-97.90165763,1,2025-10-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8500 COSMICO ST,30.23431306,-97.90207383,1,2025-10-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8422 COSMICO ST,30.23427307,-97.90199566,1,2025-10-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
7901 FM 2222 RD,30.37789857,-97.80645459,1,2025-10-17,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
111 MILDRED ST BLDG 3,30.25580583,-97.71881385,1,2025-10-20,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
12005 TWEED CT,30.42514136,-97.74957224,1,2025-10-20,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2303 E 2ND ST BLDG 1,,,1,2025-10-20,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2301 E 2ND ST BLDG 1,30.25586146,-97.71857473,1,2025-10-20,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2806 SAN PEDRO ST,30.29397197,-97.74589553,2,2025-10-20,Active,HOME (matched to Plan Review Case),high,,,,
9001 1/2 OLD LAMPASAS TRL,30.42089665,-97.79751104,1,2025-10-20,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
2301 E 2ND ST BLDG 2,30.25586146,-97.71857473,1,2025-10-20,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2142 E 7TH ST,30.2619593,-97.71805156,2,2025-10-21,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
4800 E 7TH ST,30.25521198,-97.69989089,1,2025-10-21,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1000 E 41ST ST BLDG L UNIT 400,30.30046387,-97.71965158,1,2025-10-21,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
7825 BURNET RD,,,1,2025-10-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
506 WEST AVE,30.26984493,-97.75115879,1,2025-10-22,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
4400 STAGGERBRUSH RD,30.23363088,-97.83278071,1,2025-10-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5903 1/2 SOUTHWEST PKWY,30.24583793,-97.85109086,1,2025-10-22,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
500 1/2 W WILLIAM CANNON DR,30.19788109,-97.78553894,1,2025-10-22,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
1221 S LAMAR BLVD,30.25402534,-97.76238808,1,2025-10-22,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
8528 ADIRONDACK TRL,30.38386977,-97.76327222,2,2025-10-24,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
12406 SIMMENTAL DR,,,1,2025-10-27,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
1219 W 6TH ST,30.27320553,-97.7593455,1,2025-10-28,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
9600 ESCARPMENT BLVD BLDG G,30.20267824,-97.87878087,1,2025-10-28,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
5800 W SLAUGHTER LN BLDG 2,30.20259804,-97.87675015,1,2025-10-28,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
3823 AIRPORT BLVD,,,1,2025-10-28,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2313 E 11TH ST BLDG 2,30.26543351,-97.71713365,1,2025-10-28,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
6111 N FM 620 RD BLDG A UNIT 200,,,1,2025-10-28,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2007 ARPDALE ST,30.2480245,-97.77752543,2,2025-10-29,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
6401 BURNET LN,30.33871107,-97.73878198,5,2025-10-30,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
5242 N LAMAR BLVD,30.32105678,-97.72983783,1,2025-10-30,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1100 S LAMAR BLVD BLDG 2 UNIT 2140,30.25571158,-97.7625396,1,2025-10-30,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
9600 ESCARPMENT BLVD BLDG H,30.20267824,-97.87878087,1,2025-10-30,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
5900 W SLAUGHTER LN BLDG D,30.20131563,-97.87885982,1,2025-10-30,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
5900 W SLAUGHTER LN BLDG C,30.20131563,-97.87885982,1,2025-10-30,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
618 1/2 TILLERY ST,,,1,2025-10-30,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
1221 S MOPAC EXPY SVRD NB BLDG 3 UNIT 60B,30.26333282,-97.78636857,1,2025-11-04,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1801 LAVACA ST,,,1,2025-11-04,Final,,,"SB840 (by-right, no overlay/case on record)",high,,
1000 E 41ST ST,30.30046387,-97.71965158,1,2025-11-04,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1004 W 11TH ST,30.27637648,-97.75208999,1,2025-11-05,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
11415 1/2 ZIMMERMAN LN,,,1,2025-11-06,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
817 W HOWARD LN,30.42069815,-97.66509369,1,2025-11-06,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
8508 COSMICO ST,,,1,2025-11-06,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2218 RIVERVIEW ST,30.25018341,-97.7218806,1,2025-11-06,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
4420 N LAMAR BLVD,30.31332778,-97.73835813,1,2025-11-06,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2218 RIVERVIEW ST,30.25018341,-97.7218806,1,2025-11-06,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
95 CLARA ST,30.25424341,-97.71772515,1,2025-11-07,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
514 E LIVE OAK ST,30.24031588,-97.74849251,1,2025-11-10,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
910 CHOTE AVE,30.26112877,-97.69698573,2,2025-11-10,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1100 S LAMAR BLVD BLDG 2 UNIT 2140,30.25571158,-97.7625396,1,2025-11-10,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1200 W HOWARD LN BLDG 1 UNIT N,30.42418877,-97.66974492,1,2025-11-11,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2303 E 2ND ST BLDG 2,,,1,2025-11-17,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2001 S LAMAR BLVD,30.248879,-97.76730226,2,2025-11-17,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2303 E 2ND ST BLDG 3,30.25586689,-97.71857141,1,2025-11-17,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
111 MILDRED ST BLDG 2,,,1,2025-11-17,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4211 S LAMAR BLVD NB BLDG A UNIT 9,30.23424542,-97.79259308,1,2025-11-17,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2701 S LAMAR BLVD,30.24426143,-97.77969988,1,2025-11-17,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
3435 PARKER LN,30.21976589,-97.74279725,1,2025-11-17,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
111 MILDRED ST BLDG 1,,,1,2025-11-17,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2400 S CONGRESS AVE,30.23882348,-97.75454765,1,2025-11-18,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
12345 N LAMAR BLVD BLDG 1 UNIT 125,30.40448493,-97.67744137,1,2025-11-18,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
11723 N FM 620 RD,,,1,2025-11-18,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1900 E HOWARD LN BLDG E,,,1,2025-11-18,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2212 CANTERBURY ST,30.25379313,-97.72045872,1,2025-11-18,Final,HOME (matched to Plan Review Case),high,,,,
2212 CANTERBURY ST,30.25379313,-97.72045872,1,2025-11-18,Final,HOME (matched to Plan Review Case),high,,,,
10901 N LAMAR BLVD BLDG C UNIT 309,30.37829667,-97.6877363,1,2025-11-18,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
4300 N LAMAR BLVD,30.31170614,-97.73922593,1,2025-11-18,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
12345 N LAMAR BLVD BLDG 1 UNIT 135,30.40448493,-97.67744137,1,2025-11-18,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
7400 S CONGRESS AVE,30.18525407,-97.78261747,1,2025-11-19,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1300 MC KIE DR BLDG 2,30.33069981,-97.69246573,2,2025-11-19,Active,HOME (matched to Plan Review Case),high,,,,
1300 MC KIE DR BLDG 5,30.33069981,-97.69246573,2,2025-11-19,Active,HOME (matched to Plan Review Case),high,,,,
13609 N IH 35 SVRD NB BLDG 9,30.42236302,-97.66976998,1,2025-11-20,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1900 E HOWARD LN BLDG A UNIT 1,,,1,2025-11-20,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1323 S CONGRESS AVE,30.25027678,-97.74913506,1,2025-11-21,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
802 WAYSIDE DR,30.28337694,-97.77366122,2,2025-11-21,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
3601 S CONGRESS AVE BLDG F,30.2268396,-97.76025496,2,2025-11-24,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
501 E STASSNEY LN,30.20184665,-97.77187298,1,2025-11-24,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1608 SYLVAN GLADE,30.2245289,-97.78651455,1,2025-11-24,Final,HOME (matched to Plan Review Case),high,,,,
5501 N LAMAR BLVD BLDG A UNIT 121,,,1,2025-11-24,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1221 W BEN WHITE BLVD SVRD EB BLDG B UNIT 112,30.22697768,-97.77869363,2,2025-11-24,Final,,,"SB840 (by-right, no overlay/case on record)",high,,
1608 SYLVAN GLADE,30.2245289,-97.78651455,1,2025-11-24,Final,HOME (matched to Plan Review Case),high,,,,
2803 SAN JACINTO BLVD,,,1,2025-11-25,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
3200 1/2 RED RIVER ST,,,1,2025-11-25,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
1813 E 38TH HALF ST BLDG 1 UNIT 1B,,,1,2025-11-26,Active,HOME (matched to Plan Review Case),high,,,,
1813 E 38TH HALF ST BLDG 1 UNIT 1A,,,1,2025-11-26,Final,HOME (matched to Plan Review Case),high,,,,
813 W OLTORF ST,30.24303438,-97.76290243,1,2025-11-26,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
1813 E 38TH HALF ST BLDG 2,,,1,2025-11-26,Active,HOME (matched to Plan Review Case),high,,,,
1614 SUFFOLK DR,30.30799478,-97.69657393,2,2025-11-30,Active,HOME (matched to Plan Review Case),high,,,,
10037 MENCHACA RD BLDG 1,,,1,2025-12-01,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
10037 MENCHACA RD BLDG 2,,,1,2025-12-01,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
6101 HIGHLAND CAMPUS DR BLDG 3000,30.32574912,-97.71391613,2,2025-12-01,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
5812 BERKMAN DR,,,1,2025-12-01,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
6410 FM 969 RD,30.2850985,-97.65969597,80,2025-12-01,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
6101 HIGHLAND CAMPUS DR BLDG 3000,30.32574912,-97.71391613,2,2025-12-01,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
7415 MENCHACA RD,30.19666499,-97.80884218,1,2025-12-03,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4315 JAMES CASEY ST BLDG STOR,30.22364547,-97.77448092,1,2025-12-03,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
9300 S IH 35 SVRD SB BLDG F,,,1,2025-12-03,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
8701 MENCHACA RD BLDG 1 UNIT 102,30.18508663,-97.8162613,1,2025-12-04,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
11415 1/2 ZIMMERMAN LN,,,1,2025-12-04,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
310 W 2ND ST,,,1,2025-12-04,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
2811 E 5TH ST,30.2562469,-97.71078964,1,2025-12-04,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
10901 N LAMAR BLVD BLDG A UNIT 114,30.37829667,-97.6877363,1,2025-12-04,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
13642 N US 183 HWY SVRD SB BLDG 3,,,1,2025-12-05,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
11001 LAKELINE BLVD BLDG 1 UNIT 300,30.4800554,-97.7945502,2,2025-12-08,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1004 W 11TH ST,30.27637648,-97.75208999,1,2025-12-08,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
3813 WADFORD ST,30.22501809,-97.76391397,1,2025-12-08,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
3413 GONZALES ST,30.25780157,-97.70290926,2,2025-12-09,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
8100 S CONGRESS AVE BLDG GAR,30.17794774,-97.78530161,1,2025-12-09,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
7002 N FM 620 RD,,,1,2025-12-09,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
7320 BURNET RD,,,1,2025-12-10,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1191 COMAL ST,30.27248868,-97.72349846,1,2025-12-10,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
7320 BURNET RD,,,1,2025-12-10,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
12707 N MOPAC EXPY SVRD NB,30.42302466,-97.69996489,1,2025-12-10,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
300 FERGUSON DR BLDG 5,30.37632539,-97.68510677,1,2025-12-10,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1520 E RUNDBERG LN,,,1,2025-12-11,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
3601 S CONGRESS AVE BLDG J,30.2268396,-97.76025496,1,2025-12-11,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1907 E 9TH ST BLDG 2,,,2,2025-12-11,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
2246 GUADALUPE ST,30.28613958,-97.7421124,2,2025-12-11,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
11410 JOLLYVILLE RD BLDG 1,,,2,2025-12-15,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
811 W LIVE OAK ST BLDG A,30.24491587,-97.76236768,1,2025-12-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5718 E MARTIN LUTHER KING JR BLVD,30.28651026,-97.66778898,1,2025-12-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1517 KRAMER LN,30.38441929,-97.70179008,1,2025-12-15,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
710 E BEN WHITE BLVD SVRD WB,30.2200027,-97.75439457,1,2025-12-15,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
11112 S IH 35 SVRD SB,,,1,2025-12-17,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
11112 S IH 35 SVRD SB,,,1,2025-12-17,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
11112 S IH 35 SVRD SB,,,1,2025-12-17,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
9300 NEENAH AVE,,,1,2025-12-18,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1213 W ANDERSON LN,30.34994552,-97.71843451,1,2025-12-18,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
9921 E US 290 HWY SVRD EB BLDG 1 UNIT 100,30.33528227,-97.59750813,1,2025-12-18,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
